Source,Target,Type
W4408979274,W4387846272,Directed
W4403582602,W4387846272,Directed
W4416251320,W4387846272,Directed
W7166060098,W4387846272,Directed
W4412875529,W4401857444,Directed
W7123354967,W4401857444,Directed
W4414154492,W4401857444,Directed
W4412877160,W4401857444,Directed
W4409814862,W4401857444,Directed
W4410636867,W4401857444,Directed
W4417283644,W4401857444,Directed
W7118172406,W4401857444,Directed
W7160854349,W4401857444,Directed
W7162201082,W4401857444,Directed
W7162659486,W4401857444,Directed
W4395447491,W4312804490,Directed
W4388961323,W4312804490,Directed
W4381193248,W4312804490,Directed
W4409657566,W4312804490,Directed
W4296558479,W4312804490,Directed
W7154128501,W4312804490,Directed
W4409156621,W4312804490,Directed
W4416250058,W4312804490,Directed
W4416962025,W4312804490,Directed
W7155493519,W4312804490,Directed
W4391778999,W4292200154,Directed
W4398789263,W4292200154,Directed
W4411241923,W4292200154,Directed
W4408258539,W4292200154,Directed
W4390405285,W4292200154,Directed
W4416183411,W4292200154,Directed
W7160388045,W4292200154,Directed
W4385642073,W3209939081,Directed
W4413243547,W3209939081,Directed
W4409852380,W3209939081,Directed
W4388763343,W3209939081,Directed
W4393853793,W3209939081,Directed
W4416017339,W4412875503,Directed
W7162094605,W4412877055,Directed
W4416364328,W4411120820,Directed
W4411862629,W4411120820,Directed
W7155493519,W4411120820,Directed
W7161847415,W4411120820,Directed
W4406161080,W4401863414,Directed
W7130436101,W4401863414,Directed
W4411643595,W4401863414,Directed
W4407308237,W4401863414,Directed
W4408167824,W4401863414,Directed
W4415026493,W4401863414,Directed
W4412825753,W4401863414,Directed
W4401039804,W4401863414,Directed
W4412864786,W4401863414,Directed
W4417509646,W4401863414,Directed
W4406457900,W4401863414,Directed
W4412876994,W4401863414,Directed
W4416121546,W4401863414,Directed
W4406460256,W4401863414,Directed
W4403123921,W4401863414,Directed
W4407731029,W4401863414,Directed
W4409747755,W4401863414,Directed
W4412405985,W4401863414,Directed
W4413264519,W4401863414,Directed
W4413894644,W4401863414,Directed
W7118689696,W4401863414,Directed
W7125984194,W4401863414,Directed
W7125993918,W4401863414,Directed
W7131271499,W4401863414,Directed
W7133332655,W4401863414,Directed
W7136474098,W4401863414,Directed
W7144088220,W4401863414,Directed
W7155030034,W4401863414,Directed
W4413361114,W4403582411,Directed
W4412939426,W4403582411,Directed
W4416016804,W4403582411,Directed
W7130646148,W4403582411,Directed
W3189623885,W3093963954,Directed
W3188457260,W3093963954,Directed
W4323904020,W3093963954,Directed
W4410049688,W3093963954,Directed
W4399338573,W3093963954,Directed
W4411086482,W3093963954,Directed
W4386730013,W3093963954,Directed
W4393073575,W3093963954,Directed
W4283780413,W3093963954,Directed
W4288470878,W3093963954,Directed
W4396843781,W3093963954,Directed
W4412893977,W3093963954,Directed
W4413943478,W3093963954,Directed
W4376638934,W3093963954,Directed
W4295872520,W3093963954,Directed
W4400850393,W3093963954,Directed
W4416017195,W3093963954,Directed
W4407406486,W4380302039,Directed
W4400517951,W4380302039,Directed
W4404387342,W4380302039,Directed
W4380358385,W4380302039,Directed
W4385628532,W4380302039,Directed
W4391758431,W4380302039,Directed
W4399629423,W4380302039,Directed
W4395689031,W4380302039,Directed
W4410833287,W4380302039,Directed
W4396736033,W4380302039,Directed
W4389240831,W4380302039,Directed
W4406781064,W4380302039,Directed
W4412201438,W4380302039,Directed
W7118165983,W4380302039,Directed
W7138913694,W4380302039,Directed
W4403436537,W4380302039,Directed
W4403582595,W4380302039,Directed
W4399812419,W4380302039,Directed
W4366399859,W4380302039,Directed
W4389905864,W4380302039,Directed
W4389002059,W4380302039,Directed
W4387330066,W4380302039,Directed
W4387344744,W4380302039,Directed
W4387385218,W4380302039,Directed
W4387861693,W4380302039,Directed
W4399205124,W4380302039,Directed
W4399205238,W4380302039,Directed
W4403432819,W4380302039,Directed
W4415250944,W4380302039,Directed
W4416148430,W4380302039,Directed
W7138942595,W4380302039,Directed
W7160986640,W4380302039,Directed
W7164405490,W4380302039,Directed
W4390798746,W4312988836,Directed
W4409721199,W4312988836,Directed
W4415257345,W4312988836,Directed
W4399205975,W4312988836,Directed
W4382200991,W4312988836,Directed
W4413190620,W4312988836,Directed
W7117143001,W4312988836,Directed
W4386590384,W4312988836,Directed
W4416273053,W4312988836,Directed
W4404295886,W4312988836,Directed
W4410888387,W4312988836,Directed
W4412177553,W4312988836,Directed
W4413994448,W4312988836,Directed
W4415153141,W4312988836,Directed
W4415688589,W4312988836,Directed
W4415884563,W4312988836,Directed
W4416747942,W4312988836,Directed
W4416961909,W4312988836,Directed
W7131104135,W4312988836,Directed
W7162099823,W4312988836,Directed
W4403329772,W4387848734,Directed
W4411420598,W4387848734,Directed
W4395101833,W4387848734,Directed
W4411550007,W4387848734,Directed
W4395101357,W4387848734,Directed
W4395101553,W4387848734,Directed
W4395102114,W4387848734,Directed
W4410199616,W4387848734,Directed
W7167246894,W4387848734,Directed
W4366782941,W4306316911,Directed
W3185820380,W4306316911,Directed
W4401960466,W4306316911,Directed
W4414034785,W4306316911,Directed
W4380991578,W4306316911,Directed
W4403222309,W4306316911,Directed
W4410505209,W4306316911,Directed
W4399913375,W4306316911,Directed
W4403221703,W4306316911,Directed
W4410091503,W4306316911,Directed
W4411216760,W4306316911,Directed
W4403221103,W4306316911,Directed
W7125287239,W4306316911,Directed
W4393218603,W4306316911,Directed
W4399793320,W4306316911,Directed
W4385849152,W4306316911,Directed
W4387105508,W4306316911,Directed
W4392367469,W4306316911,Directed
W4395094662,W4306316911,Directed
W4414664371,W4306316911,Directed
W7154214282,W4306316911,Directed
W3100292568,W3094347401,Directed
W4385642073,W3094347401,Directed
W4281482237,W3094347401,Directed
W4284707525,W3094347401,Directed
W3198952405,W3094347401,Directed
W4413243547,W3094347401,Directed
W4367365649,W3094347401,Directed
W3201646979,W3094347401,Directed
W3150842384,W3094347401,Directed
W4385573361,W3094347401,Directed
W4284710359,W3094347401,Directed
W3208535787,W3094347401,Directed
W3208518372,W3094347401,Directed
W4224219410,W3094347401,Directed
W3195872342,W3094347401,Directed
W4284676181,W3094347401,Directed
W4297816431,W3094347401,Directed
W4310015411,W3094347401,Directed
W4396722706,W3094347401,Directed
W4396757444,W3094347401,Directed
W4293248017,W3094347401,Directed
W3094396842,W3094347401,Directed
W4226034529,W3094347401,Directed
W4221017503,W3094347401,Directed
W4281763369,W3094347401,Directed
W4385568162,W3094347401,Directed
W4388955544,W3094347401,Directed
W4396735947,W3094347401,Directed
W4396882328,W3094347401,Directed
W4405761888,W3094347401,Directed
W4405883416,W3094347401,Directed
W4409167228,W3094347401,Directed
W3196635871,W3094347401,Directed
W3135098253,W3094347401,Directed
W4386566767,W3094347401,Directed
W4387847693,W3094347401,Directed
W4306317341,W3094347401,Directed
W4403582551,W3094347401,Directed
W4409973894,W3094347401,Directed
W4226325241,W3094347401,Directed
